RID,Reaction Link,Records,Reactants,Products,Reactants_List,Products_List,Reactants_SIDs_List,Products_SIDs_List,Products_Available,Status_50,Status_75,Status_100,ReactionOrder,ActivationEnergy,ReactantCID,ProductCID,FeatureVector
7123,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=13774920&r2=0&r3=0&r4=0&p0=12385136&p1=14332286&p2=0&p3=0&p4=0&expandResults=true&,2,Â·OH + NH,HÂ· + HNO,"['·OH', 'NH']","['H·', 'HNO']","[11206, 8767]","[8457, 8215]",TRUE,TRUE,TRUE,TRUE,2,-191,"[157350, 5460607]","[5362549, 945]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  1.  1.  0.  0.]"
7124,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=13774920&r2=0&r3=0&r4=0&p0=7732185&p1=17778880&p2=0&p3=0&p4=0&expandResults=true&,2,Â·OH + NH,H2O + N,"['·OH', 'NH']","['H2O', 'N']","[11206, 8767]","[7986, 8651]",TRUE,TRUE,TRUE,TRUE,2,-2411,"[157350, 5460607]","[962, 57370662]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
7128,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=13770406&r2=0&r3=0&r4=0&p0=7732185&p1=13774920&p2=0&p3=0&p4=0&expandResults=true&,5,Â·OH + NH2,H2O + NH,"['·OH', 'NH2']","['H2O', 'NH']","[11206, 8771]","[7986, 8767]",TRUE,TRUE,TRUE,TRUE,2,5896,"[157350, 123329]","[962, 5460607]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
7129,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=13770406&r2=0&r3=0&r4=0&p0=7664417&p1=17778802&p2=0&p3=0&p4=0&expandResults=true&,5,Â·OH + NH2,NH3 + OÂ·,"['·OH', 'NH2']","['NH3', 'O·']","[11206, 8771]","[8803, 9109]",TRUE,TRUE,TRUE,TRUE,2,47379.4,"[157350, 123329]","[222, 159832]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.]"
7131,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=13770406&r2=0&r3=0&r4=0&p0=1333740&p1=14332286&p2=0&p3=0&p4=0&expandResults=true&,1,Â·OH + NH2,H2 + HNO,"['·OH', 'NH2']","['H2', 'HNO']","[11206, 8771]","[7937, 8215]",TRUE,TRUE,TRUE,TRUE,2,130000,"[157350, 123329]","[783, 945]","[-1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  1.  0.  0.]"
7133,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=13770406&r2=0&r3=0&r4=0&p0=-1000&p1=7664417&p2=0&p3=0&p4=0&expandResults=true&,1,Â·OH + NH2,O(1D) + NH3,"['·OH', 'NH2']","['O(1D)', 'NH3']","[11206, 8771]","[8919, 8803]",TRUE,TRUE,TRUE,TRUE,2,255000,"[157350, 123329]","[159832, 222]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.]"
7158,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=12385136&r2=0&r3=0&r4=0&p0=7732185&p1=0&p2=0&p3=0&p4=0&expandResults=true&,57,Â·OH + HÂ·,H2O,"['·OH', 'H·']",['H2O'],"[11206, 8457]",[7986],TRUE,TRUE,TRUE,TRUE,3,1269.6,"[157350, 5362549]",[962],"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  1.  0.  0.]"
7159,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=12385136&r2=0&r3=0&r4=0&p0=1333740&p1=17778802&p2=0&p3=0&p4=0&expandResults=true&,4,Â·OH + HÂ·,H2 + OÂ·,"['·OH', 'H·']","['H2', 'O·']","[11206, 8457]","[7937, 9109]",TRUE,TRUE,TRUE,TRUE,2,22500,"[157350, 5362549]","[783, 159832]","[-1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.]"
7175,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=12033497&r2=0&r3=0&r4=0&p0=3170830&p1=10102440&p2=0&p3=0&p4=0&expandResults=true&,8,Â·OH + NO3,HO2 + NO2,"['·OH', 'NO3']","['HO2', 'NO2']","[11206, 8823]","[8230, 8818]",TRUE,TRUE,TRUE,TRUE,2,,"[157350, 943]","[520535, 3032552]","[ 0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0. -1.  0.  0.]"
7191,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=10102440&r2=0&r3=0&r4=0&p0=7697372&p1=0&p2=0&p3=0&p4=0&expandResults=true&,103,Â·OH + NO2,HNO3,"['·OH', 'NO2']",['HNO3'],"[11206, 8818]",[8217],TRUE,TRUE,TRUE,TRUE,3,-1592.1875,"[157350, 3032552]",[944],"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0.  0.]"
7192,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=10102440&r2=0&r3=0&r4=0&p0=3170830&p1=10102439&p2=0&p3=0&p4=0&expandResults=true&,6,Â·OH + NO2,HO2 + NO,"['·OH', 'NO2']","['HO2', 'NO']","[11206, 8818]","[8230, 8814]",TRUE,TRUE,TRUE,TRUE,2,28150,"[157350, 3032552]","[520535, 145068]","[ 0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0. -1.  1.  0.  0.]"
7196,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=10102439&r2=0&r3=0&r4=0&p0=7782776&p1=0&p2=0&p3=0&p4=0&expandResults=true&,60,Â·OH + NO,HNO2,"['·OH', 'NO']",['HNO2'],"[11206, 8814]",[8216],TRUE,TRUE,TRUE,TRUE,3,-3113.545455,"[157350, 145068]",[24529],"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  1.  0.  0.]"
7200,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=10097322&r2=0&r3=0&r4=0&p0=10035106&p1=17778802&p2=0&p3=0&p4=0&expandResults=true&,1,Â·OH + BrÂ·,HBr + OÂ·,"['·OH', 'Br·']","['HBr', 'O·']","[11206, 3399]","[8030, 9109]",TRUE,TRUE,TRUE,TRUE,2,72500,"[157350, 5360770]","[260, 159832]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
7206,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=10035106&r2=0&r3=0&r4=0&p0=7732185&p1=10097322&p2=0&p3=0&p4=0&expandResults=true&,37,Â·OH + HBr,H2O + BrÂ·,"['·OH', 'HBr']","['H2O', 'Br·']","[11206, 8030]","[7986, 3399]",TRUE,TRUE,TRUE,TRUE,2,-741.175,"[157350, 260]","[962, 5360770]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. -1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
7207,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=10034852&r2=0&r3=0&r4=0&p0=7732185&p1=14362448&p2=0&p3=0&p4=0&expandResults=true&,17,Â·OH + HI,H2O + I,"['·OH', 'HI']","['H2O', 'I']","[11206, 8191]","[7986, 8459]",TRUE,TRUE,TRUE,TRUE,2,-6405.333333,"[157350, 21844680]","[962, 5360629]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
7209,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=10028156&r2=0&r3=0&r4=0&p0=3170830&p1=7782447&p2=0&p3=0&p4=0&expandResults=true&,23,Â·OH + O3,HO2 + O2,"['·OH', 'O3']","['HO2', 'O2']","[11206, 8934]","[8230, 8924]",TRUE,TRUE,TRUE,TRUE,2,7753.266667,"[157350, 24823]","[520535, 977]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
7211,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=10024972&r2=0&r3=0&r4=0&p0=10102439&p1=14332286&p2=0&p3=0&p4=0&expandResults=true&,1,Â·OH + N2O,NO + HNO,"['·OH', 'N2O']","['NO', 'HNO']","[11206, 8702]","[8814, 8215]",TRUE,TRUE,TRUE,TRUE,2,105000,"[157350, 948]","[145068, 945]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0. -1.  1.  0.  0.]"
7212,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=10024972&r2=0&r3=0&r4=0&p0=3170830&p1=7727379&p2=0&p3=0&p4=0&expandResults=true&,6,Â·OH + N2O,HO2 + N2,"['·OH', 'N2O']","['HO2', 'N2']","[11206, 8702]","[8230, 8692]",TRUE,TRUE,TRUE,TRUE,2,78733.33333,"[157350, 948]","[520535, 947]","[ 0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
7215,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7803625&r2=0&r3=0&r4=0&p0=7732185&p1=13765441&p2=0&p3=0&p4=0&expandResults=true&,3,Â·OH + SiH4,H2O + SiH3,"['·OH', 'SiH4']","['H2O', 'SiH3']","[11206, 9582]","[7986, 9554]",TRUE,TRUE,TRUE,FALSE,2,-127.3333333,"[157350, 23953]","[962, 139580]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  0.  0.  1.  0.  0.]"
7233,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7783064&r2=0&r3=0&r4=0&p0=7732185&p1=13940211&p2=0&p3=0&p4=0&expandResults=true&,27,Â·OH + H2S,H2O + SH,"['·OH', 'H2S']","['H2O', 'SH']","[11206, 7996]","[7986, 9423]",TRUE,TRUE,TRUE,FALSE,2,1069.333333,"[157350, 402]","[962, 5460613]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
7238,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7782776&r2=0&r3=0&r4=0&p0=7732185&p1=10102440&p2=0&p3=0&p4=0&expandResults=true&,17,Â·OH + HNO2,H2O + NO2,"['·OH', 'HNO2']","['H2O', 'NO2']","[11206, 8216]","[7986, 8818]",TRUE,TRUE,TRUE,TRUE,2,881.375,"[157350, 24529]","[962, 3032552]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
7242,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7782447&r2=0&r3=0&r4=0&p0=3170830&p1=17778802&p2=0&p3=0&p4=0&expandResults=true&,2,Â·OH + O2,HO2 + OÂ·,"['·OH', 'O2']","['HO2', 'O·']","[11206, 8924]","[8230, 9109]",TRUE,TRUE,TRUE,TRUE,2,210500,"[157350, 977]","[520535, 159832]","[ 0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0. -1.  0.  0.]"
7246,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7732185&r2=12385136&r3=0&r4=0&p0=7732185&p1=7732185&p2=0&p3=0&p4=0&expandResults=true&,1,Â·OH + H2O + HÂ·,H2O + H2O,"['·OH', 'H2O', 'H·']","['H2O', 'H2O']","[11206, 7986, 8457]","[7986, 7986]",TRUE,TRUE,TRUE,TRUE,3,,"[157350, 962, 5362549]","[962, 962]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  1.  0.  0.]"
7247,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7732185&r2=0&r3=0&r4=0&p0=3352576&p1=7732185&p2=0&p3=0&p4=0&expandResults=true&,5,Â·OH + H2O,Â·OH + H2O,"['·OH', 'H2O']","['·OH', 'H2O']","[11206, 7986]","[11206, 7986]",TRUE,TRUE,TRUE,TRUE,2,14879.8,"[157350, 962]","[157350, 962]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
7248,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7727379&r2=0&r3=0&r4=0&p0=10102439&p1=13774920&p2=0&p3=0&p4=0&expandResults=true&,1,Â·OH + N2,NO + NH,"['·OH', 'N2']","['NO', 'NH']","[11206, 8692]","[8814, 8767]",TRUE,TRUE,TRUE,TRUE,2,,"[157350, 947]","[145068, 5460607]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0. -2.  1.  0.  0.]"
7249,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7727379&r2=0&r3=0&r4=0&p0=10024972&p1=12385136&p2=0&p3=0&p4=0&expandResults=true&,1,Â·OH + N2,N2O + HÂ·,"['·OH', 'N2']","['N2O', 'H·']","[11206, 8692]","[8702, 8457]",TRUE,TRUE,TRUE,TRUE,2,337000,"[157350, 947]","[948, 5362549]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  1.  0.  0.]"
7251,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7726956&r2=0&r3=0&r4=0&p0=10035106&p1=15656196&p2=0&p3=0&p4=0&expandResults=true&,1,Â·OH + Br2,HBr + BrO,"['·OH', 'Br2']","['HBr', 'BrO']","[11206, 3356]","[8030, 3390]",TRUE,TRUE,TRUE,TRUE,2,,"[157350, 24408]","[260, 5460627]","[ 0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
7253,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7722841&r2=0&r3=0&r4=0&p0=3170830&p1=7732185&p2=0&p3=0&p4=0&expandResults=true&,60,Â·OH + H2O2,HO2 + H2O,"['·OH', 'H2O2']","['HO2', 'H2O']","[11206, 7990]","[8230, 7986]",TRUE,TRUE,TRUE,TRUE,2,2912.137931,"[157350, 784]","[520535, 962]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
7257,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7697372&r2=0&r3=0&r4=0&p0=7732185&p1=12033497&p2=0&p3=0&p4=0&expandResults=true&,24,Â·OH + HNO3,H2O + NO3,"['·OH', 'HNO3']","['H2O', 'NO3']","[11206, 8217]","[7986, 8823]",TRUE,TRUE,TRUE,TRUE,2,-5951.6,"[157350, 944]","[962, 943]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
7258,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7697372&r2=0&r3=0&r4=0&p0=7722841&p1=10102440&p2=0&p3=0&p4=0&expandResults=true&,1,Â·OH + HNO3,H2O2 + NO2,"['·OH', 'HNO3']","['H2O2', 'NO2']","[11206, 8217]","[7990, 8818]",TRUE,TRUE,TRUE,TRUE,2,,"[157350, 944]","[784, 3032552]","[ 0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
7262,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7664417&r2=0&r3=0&r4=0&p0=7732185&p1=13770406&p2=0&p3=0&p4=0&expandResults=true&,43,Â·OH + NH3,H2O + NH2,"['·OH', 'NH3']","['H2O', 'NH2']","[11206, 8803]","[7986, 8771]",TRUE,TRUE,TRUE,TRUE,2,8794.028571,"[157350, 222]","[962, 123329]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0. -1.  1.  0.  0.]"
7263,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7664393&r2=0&r3=0&r4=0&p0=7732185&p1=14762948&p2=0&p3=0&p4=0&expandResults=true&,1,Â·OH + HF,H2O + Â·F,"['·OH', 'HF']","['H2O', '·F']","[11206, 8180]","[7986, 11175]",TRUE,TRUE,TRUE,TRUE,2,102000,"[157350, 14917]","[962, 5360525]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1. -1.  0.]"
7264,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7647010&r2=0&r3=0&r4=0&p0=7732185&p1=22537151&p2=0&p3=0&p4=0&expandResults=true&,32,Â·OH + HCl,H2O + Â·Cl,"['·OH', 'HCl']","['H2O', '·Cl']","[11206, 8171]","[7986, 11174]",TRUE,TRUE,TRUE,TRUE,2,1721.826087,"[157350, 313]","[962, 5360523]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. -1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0. -1.]"
7277,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=7440440&r2=0&r3=0&r4=0&p0=630080&p1=12385136&p2=0&p3=0&p4=0&expandResults=true&,1,Â·OH + C,CO + HÂ·,"['·OH', 'C']","['CO', 'H·']","[11206, 3419]","[6775, 8457]",TRUE,TRUE,TRUE,TRUE,2,,"[157350, 5462310]","[281, 5362549]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  1.  0.  1.  0.  0.]"
7302,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=6806866&r2=0&r3=0&r4=0&p0=50000&p1=7647010&p2=0&p3=0&p4=0&expandResults=true&,1,Â·OH + Â·CH2Cl,CH2O + HCl,"['·OH', '·CH2Cl']","['CH2O', 'HCl']","[11206, 11110]","[5375, 8171]",TRUE,TRUE,TRUE,FALSE,2,,"[157350, 5378701]","[712, 313]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
 -1.  0.  0.  0.  0.  1.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  1.  0.  0.]"
7380,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=4630459&r2=0&r3=0&r4=0&p0=115117&p1=7732185&p2=0&p3=0&p4=0&expandResults=true&,1,Â·OH + iso-C4H9,iso-C4H8 + H2O,"['·OH', 'iso-C4H9']","['iso-C4H8', 'H2O']","[11206, 10425]","[10424, 7986]",TRUE,TRUE,TRUE,TRUE,2,,"[157350, 138305]","[8255, 962]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  1.  0.  0.]"
7430,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=3352576&r2=0&r3=0&r4=0&p0=7732185&p1=17778802&p2=0&p3=0&p4=0&expandResults=true&,49,Â·OH + Â·OH,H2O + OÂ·,"['·OH', '·OH']","['H2O', 'O·']","[11206, 11206]","[7986, 9109]",TRUE,TRUE,TRUE,TRUE,2,375.6818182,"[157350, 157350]","[962, 159832]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
7431,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=3352576&r2=0&r3=0&r4=0&p0=7732185&p1=12385136&p2=0&p3=0&p4=0&expandResults=true&,2,Â·OH + Â·OH,H2O + HÂ·,"['·OH', '·OH']","['H2O', 'H·']","[11206, 11206]","[7986, 8457]",TRUE,TRUE,TRUE,TRUE,2,-3708,"[157350, 157350]","[962, 5362549]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  2.  0.  0.]"
7432,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=3352576&r2=0&r3=0&r4=0&p0=7722841&p1=0&p2=0&p3=0&p4=0&expandResults=true&,50,Â·OH + Â·OH,H2O2,"['·OH', '·OH']",['H2O2'],"[11206, 11206]",[7990],TRUE,TRUE,TRUE,TRUE,3,12413.5,"[157350, 157350]",[784],"[ 0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0.  0.]"
7433,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=3352576&r2=0&r3=0&r4=0&p0=3170830&p1=12385136&p2=0&p3=0&p4=0&expandResults=true&,3,Â·OH + Â·OH,HO2 + HÂ·,"['·OH', '·OH']","['HO2', 'H·']","[11206, 11206]","[8230, 8457]",TRUE,TRUE,TRUE,TRUE,2,212500,"[157350, 157350]","[520535, 5362549]","[ 0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  1.  0.  0.]"
7434,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=3352576&r1=3352576&r2=0&r3=0&r4=0&p0=1333740&p1=7782447&p2=0&p3=0&p4=0&expandResults=true&,2,Â·OH + Â·OH,H2 + O2,"['·OH', '·OH']","['H2', 'O2']","[11206, 11206]","[7937, 8924]",TRUE,TRUE,TRUE,TRUE,2,212500,"[157350, 157350]","[783, 977]","[-1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  2.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0.  0.]"
